"name","lat","lon","top","right","bottom","left"
"",-43.327853483312,172.02882295496,-37.6209,178.011,-46.2796,169.801
"Alexandra",-45.262205547757,169.37666659885,-45.2324,169.39,-45.2987,169.332
"Ashburton",-43.366333237177,172.33452509627,-38.6544,178.005,-43.9591,171.578
"Auckland",-37.083371036024,174.71570696084,-36.7138,175.061,-43.577,172.65
"Balclutha",-46.247694651286,169.78155602349,-46.2333,169.793,-46.2586,169.766
"Blenheim",-41.633966394373,173.85481523394,-41.4525,174,-43.566,172.482
"Buller",-41.878463796321,171.74892614992,-41.6023,171.921,-42.1225,171.482
"Bulls",-40.197724819183,175.37937545776,-40.1955,175.385,-40.1998,175.375
"Cambridge",-37.908757052579,175.47536141532,-37.8866,175.566,-37.9663,175.431
"Carterton",-40.049657674936,175.91423105093,-37.7147,176.868,-41.0481,175.497
"Central Hawke's Bay",-39.969419696663,176.53865891469,-39.0714,176.632,-40.1621,174.03
"Central Otago",-45.181364525365,169.3532176127,-45.0301,170.109,-45.6056,169.18
"Christchurch",-43.300937235567,172.67847286131,-36.7882,174.757,-46.4178,168.357
"Clutha",-46.156942028971,169.71502997043,-45.8468,170.025,-46.4899,169.166
"Coromandel",-37.032720107854,175.69928945973,-36.7125,175.883,-37.2273,175.484
"Dunedin",-44.990125765045,171.11936964625,-35.6943,175.644,-46.5112,168.347
"Far North",-35.22200332261,173.78186170098,-34.987,174.19,-35.5154,173.242
"Franklin",-37.221152886412,174.85826298228,-37.1344,174.966,-37.2877,174.688
"Gisborne",-38.981976254296,177.52180134431,-37.8545,178.36,-40.3851,175.567
"Gore",-46.079741849738,168.95172933805,-36.9191,174.823,-46.2647,168.822
"Grey",-42.434223192709,171.24961054767,-42.3449,171.415,-42.6338,171.188
"Greymouth",-42.470880953852,171.20929320558,-42.2721,171.385,-42.6158,171.14
"Hamilton",-37.948055086298,175.12497388764,-36.7849,176.302,-45.031,168.659
"Hastings",-39.639773527263,176.85282107673,-39.5541,176.985,-39.7731,176.753
"Hauraki",-37.384556948654,175.72658973012,-37.2453,175.886,-41.1827,174.957
"Horowhenua",-40.573109165626,175.28966338725,-40.4564,175.425,-40.6477,175.203
"Hurunui",-42.756835755848,172.8871488117,-42.4869,173.315,-43.1633,172.658
"Invercargill",-45.942403723631,168.84840811289,-36.742,174.739,-46.6122,168.299
"Kaiapoi",-43.376066843669,172.69711049398,-43.3645,172.704,-43.3842,172.66
"Kaikoura",-42.409111022949,173.68549940321,-42.3642,173.709,-42.4253,173.659
"Kaipara",-36.007470412481,174.01806655157,-35.91,176.193,-37.7293,173.802
"Kapiti Coast",-41.012473492395,174.83880074819,-40.7253,175.186,-44.3095,169.824
"Kawakawa",-35.388082095555,174.01710837228,-35.3678,174.039,-35.3994,174.002
"Kawerau",-38.090058490483,176.69745335434,-38.0711,176.717,-38.111,176.658
"Levin",-40.551791191101,175.20075035095,-40.5404,175.23,-40.5604,175.196
"Lower Hutt",-41.208211907675,174.76558081339,-36.8033,174.996,-45.0456,168.623
"Lyttelton",-43.605450153351,172.69249916077,-43.6027,172.707,-43.6109,172.673
"Mackenzie",-44.095021694521,170.37524076051,-43.726,170.901,-44.3895,169.992
"Manawatu",-40.226606767442,175.52595506456,-40.1002,175.666,-40.3024,175.233
"Mangawhai",-36.093883691832,174.58686047931,-36.0812,174.596,-36.1121,174.578
"Manukau",-36.959207547971,174.88523166132,-35.3753,177.337,-38.0604,174.59
"Mapua",-41.229549407959,173.08170013428,-41.2104,173.091,-41.2385,173.073
"Marlborough",-41.390438783516,173.96578712834,-41.2754,174.116,-41.6746,173.761
"Masterton",-40.951299675018,175.65518090428,-40.9137,175.785,-41.0853,175.588
"Napier",-39.516015802475,176.87048156249,-39.4055,176.919,-46.3564,168.351
"Nelson",-41.27907305359,173.27066051112,-37.9022,175.48,-41.3644,173.143
"New Plymouth",-39.101857757568,174.10737759643,-38.9868,174.775,-41.3157,173.872
"North Shore",-36.762409175047,174.73168327527,-36.6906,174.81,-36.8316,174.645
"Oamaru",-45.089788236116,170.96455269529,-45.0078,171.008,-45.1429,170.827
"Opotiki",-38.014900068803,177.27961952903,-37.9955,177.3,-38.1921,177.189
"Orewa",-36.569927562367,174.68981517445,-36.5662,174.693,-36.5732,174.686
"Otaki",-40.742582433364,175.1187061983,-40.7329,175.132,-40.7559,175.108
"Otorohanga",-38.184503458314,175.21515358101,-38.1397,175.292,-38.2297,175.203
"Palmerston North",-40.511354607522,175.45175062798,-40.248,175.805,-44.4038,171.224
"Papakura",-37.062768134093,174.94305639022,-37.015,175.033,-37.1075,174.906
"Paraparaumu",-40.904604102241,174.99204406738,-40.8769,175.038,-40.9621,174.974
"Picton",-41.274592619676,174.03757594182,-41.2657,174.104,-41.3225,174.026
"Porirua",-41.11375669877,174.86445612284,-41.0294,174.916,-41.152,174.816
"Queenstown",-44.893427307129,168.86460538737,-44.5847,169.21,-45.047,168.625
"Rangiora",-43.296537399292,172.5535030365,-43.2895,172.576,-43.3053,172.407
"Rangitikei",-39.986339066668,175.49703979492,-39.6511,175.839,-40.1809,175.294
"Riverton",-46.357638130725,168.01484486755,-46.3375,168.032,-46.3807,167.861
"Rodney",-36.561582049074,174.62974643979,-36.2774,174.841,-36.8973,174.431
"Rotorua",-38.140726807033,176.22984696661,-38.0651,176.319,-43.3616,171.923
"Ruapehu",-39.187207028084,175.36063489479,-38.7829,175.71,-39.4802,174.883
"Selwyn",-43.606462543075,172.3181450818,-43.3611,172.557,-43.8176,171.986
"South Taranaki",-39.571087293891,174.25642656425,-39.4023,174.516,-39.7695,173.846
"South Waikato",-38.1594272877,175.82785533642,-37.9731,175.902,-38.2447,175.647
"South Wairarapa",-41.137778445407,175.40673828125,-41.0489,175.473,-41.2286,175.316
"Southland",-46.028255759126,168.1982256242,-39.7302,176.993,-46.9057,167.635
"Stratford",-39.436721118528,174.20102976329,-39.2405,174.307,-46.0045,168.831
"Tararua",-40.351471905068,175.94109076958,-40.1874,176.232,-40.6662,175.688
"Tasman",-41.239982816908,172.95565874614,-40.8338,173.127,-45.8685,170.511
"Taumarunui",-38.892500559489,175.32286478678,-38.8847,175.333,-38.91,175.286
"Taupo",-38.73875319537,175.99724174948,-38.3634,176.108,-43.6428,172.492
"Tauranga",-37.699201893576,176.18115128888,-37.6323,176.355,-37.8568,176.101
"Te Awamutu",-38.037759542465,175.34781122208,-38.0253,175.359,-38.0438,175.334
"Timaru",-44.322683003944,171.23162994986,-44.0762,171.344,-44.4922,171.099
"Tirau",-37.947166442871,175.74066670736,-37.9303,175.795,-37.9591,175.674
"Upper Hutt",-41.117606543248,175.0658453316,-37.9625,176.975,-41.1671,174.994
"Waiheke Island",-36.791574828479,175.04072114075,-36.7743,175.087,-36.8206,175
"Waihi Beach",-37.43214485862,175.95972789418,-37.426,175.966,-37.4391,175.951
"Waikanae",-40.868204598115,175.03113135222,-40.8513,175.057,-40.8803,175.009
"Waikato",-37.661037540277,175.40931889539,-37.3816,175.823,-37.8701,174.841
"Waimakariri",-43.334224931211,172.57619378198,-43.2302,172.72,-43.4526,172.112
"Waimate",-44.728650319208,171.02892877638,-44.3427,171.091,-44.7628,170.459
"Waipa",-37.907592972465,175.41491261358,-37.8717,175.573,-37.9975,175.197
"Wairoa",-39.034844611673,177.41905858657,-38.9872,177.434,-39.062,177.392
"Waitakere",-36.873871327046,174.63259234158,-36.7634,174.697,-37.0269,174.494
"Waitaki",-44.999339580536,170.50110505757,-44.3747,170.969,-45.4904,169.716
"Waitomo",-38.354352268604,175.14258764424,-38.3157,175.245,-38.514,174.92
"Wakefield",-41.387649536133,173.02249908447,-41.3746,173.024,-41.4007,173.021
"Wanganui",-39.878664970398,175.07978393918,-38.0905,176.686,-39.9597,174.968
"Warkworth",-36.419423915722,174.72744581434,-36.4081,174.739,-36.43,174.72
"Wellington",-41.261882579113,174.79063797755,-36.9046,176.288,-41.347,174.714
"Western Bay Of Plenty",-37.626753399551,176.09798636415,-37.3893,176.335,-37.8012,175.829
"Westland",-42.755339994269,170.98277153403,-42.5748,171.374,-43.0093,170.672
"Westport",-41.748671395438,171.56071690151,-41.7474,171.563,-41.7499,171.558
"Whakatane",-38.015266839389,176.96188243998,-37.9315,177.119,-39.81,176.703
"Whangaparaoa",-36.624210749354,174.75291551862,-36.602,174.807,-36.6836,174.675
"Whangarei",-35.730120425352,174.33125741486,-35.5717,174.514,-36.0363,174.104
